protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,2040.0,2040.0,0.001853,0.003189,2.008413,1.328548,0.073961,0.445122,1.7209929843497032,1.511735368236601,6.018333986830898,DNS,DNS
ICMPV6,59.0,59.0,0.000974,0.001874,1.041795,0.650683,0.089111,0.361086,1.9240246406570842,1.6010791737297578,4.052092334279719,ICMPV6,ICMPV6
LLMNR,108.0,108.0,0.001531,0.003143,1.332686,0.760923,0.049085,0.353982,2.052906596995428,1.7514071726048497,7.2116125089131105,LLMNR,LLMNR
SamsungSDP,1691.0,1691.0,0.000416,0.000984,1.799469,0.997022,0.172449,0.47609,2.365384615384616,1.8048438249105838,2.760758253164704,SamsungSDP,SamsungSDP
