protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,1691.0,1691.0,0.001969,0.003229,1.973263,1.328497,0.067639,0.423227,1.6399187404773998,1.4853349311289374,6.257144546785138,DNS,DNS
LLMNR,111.0,111.0,0.001653,0.003187,1.317112,0.743777,0.048858,0.359632,1.928009679370841,1.7708426047054426,7.360759752752876,LLMNR,LLMNR
NTP,77.0,77.0,0.000864,0.001402,1.141472,0.798923,0.048722,0.411461,1.6226851851851853,1.428763472825291,8.445076146299414,NTP,NTP
SSDP,113.0,113.0,0.002498,0.004924,1.621674,0.995462,0.067894,0.21463,1.971176941553243,1.6290667047059557,3.161251362417887,SSDP,SSDP
