protocol,profile_flows,profile_avg_detecting_total_ms,profile_avg_detecting_detection_only_ms,profile_avg_detecting_flow_table_ms,profile_avg_detecting_other_ms,profile_avg_detecting_detection_ratio,profile_avg_detecting_flow_table_ratio,profile_avg_detecting_other_ratio,profile_avg_detecting_ipc,profile_avg_detecting_llc_misses,profile_avg_detecting_llc_miss_ratio,profile_avg_detecting_branch_miss_per_kinst,protocol_label,family
DNS,1691.0,0.00359,0.0025989999999999997,0.000554,0.000437,0.7265475,0.1530185,0.120434,1.65088,24.576877500000002,0.245433,2.057248,DNS,DNS
LLMNR,111.0,0.0034009999999999995,0.0024200000000000003,0.000551,0.00042950000000000003,0.707244,0.16621049999999998,0.1265455,1.0304445,53.4684685,0.204245,5.3024845,LLMNR,LLMNR
NTP,77.0,0.001755,0.001133,0.0002545,0.0003675,0.647283,0.145901,0.206816,0.9701975,17.357143,0.2300915,4.360564500000001,NTP,NTP
SSDP,113.0,0.0043945,0.003711,0.00039099999999999996,0.000292,0.8418559999999999,0.091587,0.0665575,1.308568,55.619468999999995,0.141262,3.6114005000000002,SSDP,SSDP
