protocol           , protocol_detected, master_proto, app_proto, category_name , category_id, flows , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes, var_detecting_bytes, avg_packets_in_flow, var_packets_in_flow, avg_bytes_in_flow, var_bytes_in_flow        , avg_detecting_total_ms, var_detecting_total_ms, avg_detecting_detection_only_ms, var_detecting_detection_only_ms, avg_detecting_flow_table_ms, var_detecting_flow_table_ms, avg_detecting_other_ms, var_detecting_other_ms, avg_detecting_detection_ratio, var_detecting_detection_ratio, avg_detecting_flow_table_ratio, var_detecting_flow_table_ratio, avg_detecting_other_ratio, var_detecting_other_ratio
TLS.Twitter        ,                 1,           91,       120, SocialNetwork ,           6,    785,               4.000000,               0.000000,          554.764331,        22355.385225,           48.840764,         8053.474007,      30140.098089,        10931401475.530506,               0.008446,               0.000001,                        0.007432,                        0.000001,                    0.000386,                    0.000000,               0.000629,               0.000000,                      0.879925,                      0.004995,                       0.045646,                       0.001636,                  0.074430,                  0.001970
TLS.AWS_Cloudfront ,                 1,           91,       464, Cloud         ,          13,    749,               4.002670,               0.005333,          526.206943,        18338.706173,           58.935915,        22640.762248,      41242.822430,        38019528462.685425,               0.008301,               0.000001,                        0.007264,                        0.000001,                    0.000394,                    0.000000,               0.000643,               0.000000,                      0.875045,                      0.005807,                       0.047520,                       0.001778,                  0.077435,                  0.002103
HTTP.Google        ,                 1,            7,       126, Advertisement ,         101,    592,               4.000000,               0.000000,          832.726351,        54922.178495,           31.736486,         1297.295425,      10045.932432,          589335235.738678,               0.007676,               0.000025,                        0.006675,                        0.000025,                    0.000387,                    0.000000,               0.000614,               0.000000,                      0.869557,                      0.000000,                       0.050454,                       0.004888,                  0.079989,                  0.007782
NetBIOS            ,                 1,            0,        10, System        ,          18,    496,               2.322581,               6.234651,          199.112903,        40684.342092,           62.911290,        87652.637292,       6724.221774,          776059275.539526,               0.002141,               0.000001,                        0.001337,                        0.000001,                    0.000329,                    0.000000,               0.000475,               0.000000,                      0.624384,                      0.046756,                       0.153807,                       0.019709,                  0.221809,                  0.019145
FTP_CONTROL        ,                 1,            0,         1, Download      ,           7,    441,              28.108844,               2.432598,         2048.551020,        47703.163497,           50.691610,            8.839136,       3760.671202,             114832.964454,               0.019317,               0.000012,                        0.015960,                        0.000012,                    0.000705,                    0.000000,               0.002653,               0.000000,                      0.826184,                      0.000000,                       0.036488,                       0.000507,                  0.137328,                  0.002595
TLS.Yahoo          ,                 1,           91,        70, Web           ,           5,    401,               4.002494,               0.002488,          552.678304,        21953.744392,           32.329177,          740.325558,      10982.708229,          560841116.705394,               0.008601,               0.000001,                        0.007567,                        0.000001,                    0.000384,                    0.000000,               0.000650,               0.000000,                      0.879773,                      0.003636,                       0.044626,                       0.001660,                  0.075601,                  0.001882
QUIC.Google        ,                 1,          188,       126, Web           ,           5,    381,               1.000000,               0.000000,         1392.000000,            0.000000,           82.866142,       188184.063447,      66107.498688,       162866042973.662079,               0.002343,               0.000001,                        0.001656,                        0.000000,                    0.000314,                    0.000000,               0.000373,               0.000000,                      0.706930,                      0.040118,                       0.133987,                       0.014584,                  0.159083,                  0.016887
TLS.Yandex         ,                 1,           91,        25, Web           ,           5,    362,               4.000000,               0.000000,          543.676796,        22692.014323,           56.980663,         9955.206808,      44934.817680,        15092396326.115931,               0.008764,               0.000031,                        0.007452,                        0.000001,                    0.000676,                    0.000031,               0.000636,               0.000000,                      0.850323,                      0.053030,                       0.077159,                       0.000160,                  0.072517,                  0.002193
TLS.Microsoft      ,                 1,           91,       212, Web           ,           5,    354,               4.000000,               0.000000,          455.652542,          287.153284,           35.005650,         9087.231606,      24831.175141,        13257472399.805485,               0.010161,               0.000002,                        0.009208,                        0.000002,                    0.000311,                    0.000000,               0.000641,               0.000000,                      0.906243,                      0.000453,                       0.030638,                       0.000962,                  0.063119,                  0.001518
TLS.AWS_S3         ,                 1,           91,       463, Cloud         ,          13,    353,               4.002833,               0.002825,          455.073654,         3462.612139,           30.373938,          481.202947,      12098.484419,          583844113.898482,               0.008358,               0.000002,                        0.007341,                        0.000002,                    0.000398,                    0.000000,               0.000619,               0.000000,                      0.878320,                      0.003686,                       0.047656,                       0.002190,                  0.074024,                  0.001844
SMTPS.GMail        ,                 1,           29,       122, Email         ,           3,    343,               4.005831,               0.011628,          436.271137,          783.177214,           43.405248,            7.343063,       8127.262391,            1871708.432609,               0.007819,               0.000001,                        0.006818,                        0.000001,                    0.000376,                    0.000000,               0.000625,               0.000000,                      0.871987,                      0.002679,                       0.048129,                       0.001952,                  0.079883,                  0.002429
QUIC.Google        ,                 1,          188,       126, Advertisement ,         101,    334,               1.000000,               0.000000,         1392.000000,            0.000000,           53.862275,         9293.507978,      30341.194611,         4955985937.162725,               0.002451,               0.000001,                        0.001778,                        0.000001,                    0.000308,                    0.000000,               0.000365,               0.000000,                      0.725314,                      0.032039,                       0.125662,                       0.014664,                  0.149023,                  0.017874
TLS.eBay           ,                 1,           91,       179, Shopping      ,          27,    305,               4.000000,               0.000000,          492.501639,        12567.154915,           60.747541,         6475.395281,      40340.531148,        10757704367.363785,               0.008370,               0.000038,                        0.007373,                        0.000038,                    0.000368,                    0.000000,               0.000630,               0.000000,                      0.880851,                      0.000000,                       0.043918,                       0.001459,                  0.075231,                  0.002257
TLS                ,                 1,            0,        91, Media         ,           1,    270,               4.003704,               0.003690,          562.881481,        25345.778546,           78.529630,         2818.826900,      62651.937037,         3158454058.118258,               0.008707,               0.000001,                        0.007701,                        0.000001,                    0.000382,                    0.000000,               0.000624,               0.000000,                      0.884509,                      0.005789,                       0.043827,                       0.001455,                  0.071664,                  0.001816
TLS.YouTube        ,                 1,           91,       124, Media         ,           1,    250,               4.000000,               0.000000,          547.808000,        23935.683136,          241.608000,       338067.598336,     296689.576000,       836612918975.412231,               0.008265,               0.000002,                        0.007234,                        0.000002,                    0.000365,                    0.000000,               0.000665,               0.000000,                      0.875295,                      0.003650,                       0.044220,                       0.001451,                  0.080485,                  0.002873
