protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,1700.0,1700.0,0.001974,0.003351,2.062833,1.330078,0.059118,0.441907,1.6975683890577506,1.5509112999388004,7.474999154233905,DNS,DNS
ICMPV6,69.0,69.0,0.000789,0.001463,1.215547,0.775119,0.065406,0.28322,1.8542458808618507,1.5682069462882473,4.330183775188821,ICMPV6,ICMPV6
LLMNR,341.0,341.0,0.001217,0.002471,1.591336,0.890193,0.041961,0.266994,2.0304026294165984,1.7876303228625703,6.362908414956746,LLMNR,LLMNR
SSDP,866.0,866.0,0.001789,0.003917,2.148667,1.179866,0.069541,0.322224,2.189491335941867,1.821111041423348,4.633583066104888,SSDP,SSDP
SamsungSDP,3199.0,3199.0,0.000414,0.001018,1.76291,0.997899,0.169258,0.514956,2.458937198067633,1.7666216721331518,3.0424322631721985,SamsungSDP,SamsungSDP
