protocol,profile_flows,profile_avg_detecting_total_ms,profile_avg_detecting_detection_only_ms,profile_avg_detecting_flow_table_ms,profile_avg_detecting_other_ms,profile_avg_detecting_detection_ratio,profile_avg_detecting_flow_table_ratio,profile_avg_detecting_other_ratio,profile_avg_detecting_ipc,profile_avg_detecting_llc_misses,profile_avg_detecting_llc_miss_ratio,profile_avg_detecting_branch_miss_per_kinst,protocol_label,family
DNS,1700.0,0.0037115000000000004,0.0026625,0.000483,0.000566,0.7189805,0.12754100000000002,0.153479,1.6964555,21.819412,0.25051249999999997,2.2288685,DNS,DNS
ICMPV6,69.0,0.002568,0.001126,0.0009035,0.000539,0.438985,0.3556275,0.2053875,0.995333,10.6086955,0.17431300000000002,6.295358,ICMPV6,ICMPV6
LLMNR,341.0,0.0029319999999999997,0.0018440000000000002,0.000522,0.000566,0.627294,0.1798055,0.19290049999999997,1.2407645,21.312316499999998,0.1544775,3.9091755,LLMNR,LLMNR
SSDP,866.0,0.0036699999999999997,0.002853,0.00035999999999999997,0.00045700000000000005,0.7731345,0.1004515,0.126414,1.6642665,18.886836000000002,0.19588250000000001,1.89372,SSDP,SSDP
SamsungSDP,3199.0,0.00148,0.0007160000000000001,0.0003445,0.00041950000000000006,0.46809500000000004,0.23428500000000002,0.29762,1.3804045,6.814317,0.342107,1.6987919999999999,SamsungSDP,SamsungSDP
