protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,384.0,384.0,0.003468,0.003468,1.731045,1.077667,0.116248,0.332795,1.0,1.60628932685143,2.8628019406785494,DNS,DNS
HTTP,1251.0,1251.0,0.007673,0.007673,3.004178,1.694801,0.11315,0.263159,1.0,1.7725845099218138,2.325753424657534,HTTP,HTTP
MySQL,407.0,407.0,0.020176,0.020176,2.855526,1.938106,0.089987,0.266971,1.0,1.4733590422814848,2.966772978319091,MySQL,MySQL
SSH,390.0,390.0,0.003927,0.003927,2.52775,1.429011,0.110088,0.335778,1.0,1.7688807154038704,3.050087202964901,SSH,SSH
TLS,1619.0,1619.0,0.019521,0.019521,3.026528,1.993702,0.107026,0.256093,1.0,1.5180443215686195,2.392811092631697,TLS,TLS
