protocol,flow_count,detecting_detection_only_mean_ms,W_mean_us,log_W,cluster_id,cluster_center_log_W,bucket
BJNP,19,0.0007058947368421053,0.7058947368421054,-0.34828915056245824,0,0.36144572100384353,Easy
NTP,148,0.0007903108108108109,0.7903108108108109,-0.23532897948882225,0,0.36144572100384353,Easy
ICMP,84,0.000993345238095238,0.993345238095238,-0.006677003562976494,0,0.36144572100384353,Easy
STUN,42,0.001023904761904762,1.0239047619047619,0.02362351633961328,0,0.36144572100384353,Easy
ICMPV6,37,0.0011587297297297298,1.1587297297297299,0.1473243445235431,0,0.36144572100384353,Easy
QUIC.YouTube,17,0.0011851176470588237,1.1851176470588236,0.16984204987755633,0,0.36144572100384353,Easy
NetBIOS,496,0.0012447479838709678,1.2447479838709679,0.21893308683285245,0,0.36144572100384353,Easy
DNS,114715,0.0014024864664603583,1.4024864664603582,0.33824670878552454,0,0.36144572100384353,Easy
IGMP,12,0.00154025,1.54025,0.431944740912543,0,0.36144572100384353,Easy
QUIC.Google,715,0.0015637468531468533,1.5637468531468532,0.447084770420846,0,0.36144572100384353,Easy
LLMNR,116,0.001706008620689655,1.706008620689655,0.5341565022159552,0,0.36144572100384353,Easy
QUIC.GoogleServices,103,0.0017770291262135922,1.7770291262135922,0.5749429397042508,0,0.36144572100384353,Easy
Kerberos,905,0.001971190055248619,1.9711900552486188,0.6786374493203007,0,0.36144572100384353,Easy
MDNS,15,0.0024037999999999998,2.4038,0.8770508185365514,0,0.36144572100384353,Easy
LDAP,929,0.002480153928955867,2.480153928955867,0.90832062637811,0,0.36144572100384353,Easy
SSH,1054,0.0027824146110056926,2.7824146110056924,1.0233191158281065,0,0.36144572100384353,Easy
HTTP.OCSP,8732,0.002950279661016949,2.9502796610169493,1.0818999662031883,1,1.7433702566400517,Middle
NetBIOS.SMBv1,11,0.003197,3.197,1.1622128700777044,1,1.7433702566400517,Middle
HTTP.Huawei,12,0.0032044166666666666,3.2044166666666665,1.164530066527007,1,1.7433702566400517,Middle
HTTP.Canonical,21,0.003360952380952381,3.360952380952381,1.212224380523701,1,1.7433702566400517,Middle
HTTP.AWS_S3,25,0.0036948799999999998,3.69488,1.3069480775534474,1,1.7433702566400517,Middle
SSDP,111,0.0037403513513513515,3.7403513513513515,1.3191795512255509,1,1.7433702566400517,Middle
HTTP.AppleiTunes,6,0.0037616666666666666,3.7616666666666667,1.3248621216013894,1,1.7433702566400517,Middle
HTTP.Cloudflare,24,0.004022666666666667,4.022666666666667,1.391945032628705,1,1.7433702566400517,Middle
HTTP.AWS_Cloudfront,59,0.004035966101694915,4.035966101694915,1.3952457034706882,1,1.7433702566400517,Middle
HTTP.QQ,9,0.004110111111111111,4.110111111111111,1.413450062476326,1,1.7433702566400517,Middle
HTTP.SOAP,59,0.004157118644067796,4.157118644067796,1.4248222006541258,1,1.7433702566400517,Middle
HTTP.Facebook,38,0.0042085000000000004,4.208500000000001,1.437106289669494,1,1.7433702566400517,Middle
DCERPC,165,0.004226787878787879,4.22678787878788,1.441442337876425,1,1.7433702566400517,Middle
HTTP.GoogleServices,210,0.004457528571428572,4.457528571428572,1.4945944804774254,1,1.7433702566400517,Middle
HTTP.MpegDash,5,0.0045065999999999995,4.5066,1.505542988937884,1,1.7433702566400517,Middle
HTTP.Twitter,38,0.004707736842105263,4.7077368421052626,1.5492072919363193,1,1.7433702566400517,Middle
SMTPS,24,0.004747833333333333,4.747833333333333,1.5576883736320166,1,1.7433702566400517,Middle
HTTP.Espn,12,0.004863500000000001,4.863500000000001,1.581758343327358,1,1.7433702566400517,Middle
HTTP.Microsoft365,91,0.004880560439560439,4.88056043956044,1.5852600574431899,1,1.7433702566400517,Middle
TLS.IHeartRadio,48,0.004913208333333333,4.9132083333333325,1.59192715679252,1,1.7433702566400517,Middle
HTTP.AmazonAWS,18,0.004937333333333333,4.937333333333332,1.5968253743832563,1,1.7433702566400517,Middle
HTTP.WindowsUpdate,66,0.0051389545454545455,5.1389545454545456,1.6368496629533735,1,1.7433702566400517,Middle
