protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,2183.0,2183.0,0.00187,0.003194,2.015162,1.31885,0.061048,0.407631,1.7080213903743315,1.5279690639572354,6.6772212029878135,DNS,DNS
ICMPV6,57.0,57.0,0.000963,0.00179,1.066242,0.672961,0.093773,0.411577,1.8587746625129802,1.584403851040402,4.389077879560215,ICMPV6,ICMPV6
LLMNR,122.0,122.0,0.001605,0.003092,1.319912,0.774831,0.045044,0.328654,1.9264797507788163,1.7034837274192693,7.296288073883314,LLMNR,LLMNR
SSDP,55.0,55.0,0.003142,0.005946,1.346143,0.855256,0.044256,0.234645,1.8924252068746021,1.5739649882608249,5.30199295010846,SSDP,SSDP
