protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,2324.0,2324.0,0.001887,0.003285,2.064435,1.351418,0.066898,0.415681,1.740858505564388,1.5276065584445375,6.213653621931897,DNS,DNS
LLMNR,102.0,102.0,0.001654,0.003323,1.307353,0.745865,0.044785,0.33004,2.0090689238210397,1.7528011101204641,7.369431729373675,LLMNR,LLMNR
