protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,44911.0,44911.0,0.001665,0.003302,1.746614,1.099896,0.348857,0.624425,1.983183183183183,1.5879810454806638,1.7899167853877092,DNS,DNS
HTTP,135401.0,135401.0,0.003339,0.007394,3.056503,1.731062,0.271884,0.568383,2.2144354597184788,1.765680836388298,2.0905349340159773,HTTP,HTTP
MySQL,45017.0,45017.0,0.011448,0.020198,2.8513,1.905438,0.166652,0.538648,1.764325646401118,1.496401352339987,3.2321724311739435,MySQL,MySQL
SSH,44735.0,44735.0,0.00167,0.003788,2.508768,1.417849,0.31084,0.574707,2.268263473053892,1.7694183231077498,1.8488836700553337,SSH,SSH
