protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,1513.0,1513.0,0.001951,0.003342,2.04065,1.346567,0.067256,0.44627,1.7129677088672475,1.5154463164476775,6.6353931247769715,DNS,DNS
LLMNR,218.0,218.0,0.001316,0.002728,1.503348,0.868515,0.043509,0.288958,2.0729483282674774,1.7309407436831832,6.6413385736284445,LLMNR,LLMNR
SSDP,540.0,540.0,0.001899,0.003974,2.025274,1.150439,0.061381,0.222346,2.092680358083202,1.760435798855915,3.622391293722813,SSDP,SSDP
SamsungSDP,2901.0,2901.0,0.000414,0.000997,1.751084,0.986067,0.171221,0.511679,2.4082125603864735,1.7758265919050127,2.9884126363004535,SamsungSDP,SamsungSDP
