protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,1787.0,1787.0,0.001886,0.003225,2.020575,1.349485,0.068857,0.402484,1.709968186638388,1.4972934119312182,5.845215446505076,DNS,DNS
ICMPV6,100.0,100.0,0.000891,0.001541,1.146926,0.762675,0.070722,0.286873,1.7295173961840629,1.5038201068607204,4.0563473883657135,ICMPV6,ICMPV6
LLMNR,208.0,208.0,0.001338,0.002654,1.478622,0.863384,0.043494,0.259183,1.9835575485799701,1.712589068131909,5.959051823239987,LLMNR,LLMNR
NTP,55.0,55.0,0.00085,0.001537,1.157831,0.763601,0.050058,0.238491,1.8082352941176472,1.5162774799928236,4.764293419633225,NTP,NTP
SSDP,95.0,95.0,0.003121,0.005528,1.456921,0.928503,0.037879,0.179708,1.7712271707785965,1.5691074773048659,4.74426463211806,SSDP,SSDP
SamsungSDP,2368.0,2368.0,0.000416,0.000994,1.761591,1.002583,0.196036,0.46564,2.389423076923077,1.7570525333064693,2.375278010161399,SamsungSDP,SamsungSDP
