protocol,profile_flows,profile_avg_detecting_total_ms,profile_avg_detecting_detection_only_ms,profile_avg_detecting_flow_table_ms,profile_avg_detecting_other_ms,profile_avg_detecting_detection_ratio,profile_avg_detecting_flow_table_ratio,profile_avg_detecting_other_ratio,profile_avg_detecting_ipc,profile_avg_detecting_llc_misses,profile_avg_detecting_llc_miss_ratio,profile_avg_detecting_branch_miss_per_kinst,protocol_label,family
DNS,1787.0,0.003457,0.0025555,0.0004575,0.000445,0.740266,0.1324595,0.12727449999999998,1.68503,22.1502515,0.2356705,2.178569,DNS,DNS
ICMPV6,100.0,0.002333,0.001216,0.0006670000000000001,0.00045049999999999995,0.521628,0.28712099999999996,0.191251,0.9548004999999999,19.3,0.1787975,6.494071,ICMPV6,ICMPV6
LLMNR,208.0,0.002983,0.001996,0.00048,0.0005075,0.6666495,0.1635625,0.16978749999999998,1.171003,29.0096155,0.1513385,4.395104,LLMNR,LLMNR
NTP,55.0,0.0019555,0.0011935,0.00038750000000000004,0.000375,0.6090519999999999,0.19977299999999998,0.19117499999999998,0.960716,16.345454500000002,0.1442745,4.5864475,NTP,NTP
SSDP,95.0,0.0052025000000000005,0.0043245,0.0004605,0.000417,0.831476,0.08898400000000001,0.07954,1.192712,74.6,0.1087935,4.3946475,SSDP,SSDP
SamsungSDP,2368.0,0.0013855,0.000705,0.000329,0.00035150000000000003,0.4959705,0.2457945,0.25823399999999996,1.3820869999999998,6.9144845,0.33083799999999997,1.8116465000000002,SamsungSDP,SamsungSDP
