protocol,protocol_detected,master_proto,app_proto,category_name,category_id,flows,avg_detect_pkt_in_flow,var_detect_pkt_in_flow,avg_detecting_bytes,var_detecting_bytes,avg_packets_in_flow,var_packets_in_flow,avg_bytes_in_flow,var_bytes_in_flow,avg_detecting_instructions,var_detecting_instructions,avg_detecting_cycles,var_detecting_cycles,avg_detecting_ipc,var_detecting_ipc,avg_detecting_llc_misses,var_detecting_llc_misses,avg_detecting_llc_refs,var_detecting_llc_refs,avg_detecting_llc_miss_ratio,var_detecting_llc_miss_ratio,avg_detecting_branch_misses,var_detecting_branch_misses,avg_detecting_branch_miss_per_kinst,var_detecting_branch_miss_per_kinst
ICMP,1,0,81,Network,14,15862122,1.00000025217307,3.782595412711943e-07,60.20895419919226,14.635963163806695,1.348086529658516,4577.694207065606,82.74946687460859,19069326.907635286,5179.189488770796,2424814.101682407,4061.722624564355,20337596.70383779,1.3154568138596463,0.04407710855691888,17.316866557954857,489.20538657508763,34.17789000740254,5465.282508762292,0.5387722367519933,0.04794288867989723,4.750950976168258,1376.9205040334448,0.8593766981415223,0.15983452910244245
NOT_DETECTED,0,0,0,NOT_DETECTED,0,3489960,0.0,0.0,3462.135941672684,456185480828.2961,5.5633947093949505,368836.50233992306,3462.135941672684,456185480828.2961,19192.069330880582,438790668305.1515,12046.853545885913,223215234393.6209,1.6964791027498884,0.27655124603471753,30.61787814186982,154308.51231765156,97.56449558161125,7559040.956067944,0.4241344159743951,0.06223534236078684,26.212675789980402,2041301.918350826,1.4256267757673442,0.9643669264132567
DNS,1,0,5,Network,14,193086,1.0048527599100918,0.10880360546059396,292.2773375594295,346853.849054689,14.04245776493376,384.7059855776342,9627.480273038957,400974139.3692467,19936.80305149001,37137203.114500485,10759.201526780813,108926780.7115492,1.9280553259998137,0.15457251813417847,10.90944967527423,1754.8641994661575,75.03857348538993,46050.03994440135,0.2724665299244896,0.05274280992003677,52.82564245983655,9194.149301757003,1.0224495896336347,0.8954015278281556
HTTP,1,0,7,Web,5,163278,5.721597520792758,58.865674852109144,2796.199181763618,80621778.60972211,220.42387829346268,11472543.195638012,206641.52809319075,13170819018266.545,72719.8070468771,696535722.7867808,26339.280258209925,1845429521.4928484,2.9178992656328466,0.19973880485511727,23.901382917478166,129066.96338801147,93.9277367434682,442053.54928628367,0.2658498457048714,0.026603446547065042,59.15358468379083,118971.9837183018,0.3879824259851296,0.3905596321287487
TLS,1,0,91,Web,5,88875,10.53314205344585,618.7153094805238,5678.705867791842,818043134.5769237,203.50722925457103,8256628.800406247,234504.95561181434,15700543527123.482,131978.32510829816,1158269011.8534384,49505.00382559775,907810566.1957662,2.8188529259184247,0.38783475701149756,61.0236511954993,25237.757167765827,226.3604388185654,129880.32753533487,0.23763368617721517,0.02965302550634762,117.24205907172995,5784.035685886805,0.5622158972601969,0.22434841375778564
SSH,1,0,92,RemoteAccess,12,50974,6.6782477341389725,66.2665268781656,1559.2517361792286,2246299.0886671892,108.07694118570251,180110237.00844032,46091.40181268882,3746114303060.267,41489.42596225527,805476342.3965958,19585.725585592656,1948348170.3210561,2.4632016431514105,0.1255796460495636,46.37075764115039,75933.87091559108,151.84792247027897,540039.6984952131,0.3116571019147016,0.030287824839267775,44.73219680621493,109493.03168710721,0.4145826935888885,0.16471564817211393
MySQL,1,0,20,Database,11,45677,13.96205967992644,0.27968670064392415,10744.503097839175,2700302.714425458,45.154629244477526,4.551149454785891,38827.63922762003,10158605.602246905,202620.90958250323,344661669.7764866,71086.8967532894,44875456.41458696,2.8504936270332992,0.011532430789405699,13.067911640431728,152.13716614688752,78.94969021608249,2308.2561111306904,0.17373821452809948,0.010377245702165661,114.25203056242748,236.77742899414002,0.48944847765834015,0.006560244878927216
SamsungSDP,1,0,456,Network,14,12763,1.0,0.0,79.03995925722792,0.11828102944556597,1.0239755543367546,0.02402753900908509,80.93426310428583,149.95971532903673,7280.145890464624,22225.183448402007,4128.753114471519,11285311.76393197,1.8460337731724517,0.06796908642840808,5.758442372482959,11.615002572621247,31.690511635195488,514.997376867431,0.22358731301418164,0.02583445481140112,8.696544699522056,27.69503389651719,1.1878695721225416,0.5063479342127336
TLS.Google,1,91,126,Advertisement,101,12454,4.0,0.0,491.10342058776297,13782.132230149587,60.90356511964028,37386.28867686757,36033.75718644612,42237827320.39535,122008.04087040309,554177267.3656815,39360.35354103099,50367088.50605098,3.096326665248113,0.063496337117941,12.564798458326642,73.2343992005886,75.22474706921471,9756.40757451046,0.24356067006584228,0.03146635522393443,90.75429580857556,2485.9842737413073,0.40446274409828165,0.065909391530721
HTTP.OCSP,1,7,63,Network,14,8734,4.0247309365697275,0.05205611606376676,694.9433249370277,823.5412120270013,23.89832837188001,191.14079638129485,4578.997023128006,11115375.282335998,49663.08987863522,833256.5377198615,21976.722234943896,18009517.33434188,2.312452548087932,0.09854339248398024,14.03503549347378,130.15929461174684,126.594916418594,35190.25015047962,0.22039661415159148,0.03271786262009659,107.86833066178154,2344.9615960912583,1.1321105578200137,0.2970871397999691
GRE,1,0,80,Network,14,4278,1.0,0.0,297.528517999065,64900.55119700891,334.6928471248247,388582659.6214122,119019.76764843384,47747721311795.81,6736.653108929407,8291.557553448163,5268.776531089294,1242727.975774596,1.3016568384759235,0.02423013962756414,18.01309022907901,102.6954808198157,45.553529686769515,318.5739227914282,0.3974615556334736,0.024721460735943956,13.833333333333334,5.309061866916004,2.051020290088827,0.118293596170349
