protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,7099.0,7099.0,0.000947,0.001957,2.267378,1.344819,0.104386,0.245014,2.0665258711721224,1.6860097901650706,2.3471921522043186,DNS,DNS
HTTP,963.0,963.0,0.0038213925233644857,0.007331233644859813,2.4938368878504673,1.547513738317757,0.06564446728971962,0.2577081775700935,1.9184717612848474,1.6115119537235398,3.925817181708662,HTTP,HTTP
HTTP_Connect,642.0,642.0,0.004061190031152647,0.007254443925233644,2.2320024158878504,1.4436098722741435,0.042497079439252336,0.23564357788161994,1.7862852685016286,1.5461257634458667,5.544935816553273,HTTP_Connect,HTTP_Connect
HTTP_Connect.Microsoft365,70.0,70.0,0.004073,0.007306,2.326123,1.514694,0.03973,0.203063,1.793763810459121,1.5357049014520425,5.111074754593506,HTTP_Connect.Microsoft365,HTTP_Connect
HTTP_Connect.Github,55.0,55.0,0.003648,0.006245,2.130761,1.451695,0.033172,0.188956,1.7118969298245612,1.4677745669717126,5.69624984927047,HTTP_Connect.Github,HTTP_Connect
HTTP_Proxy,697.0,697.0,0.003973,0.007663,2.507973,1.570269,0.036583,0.184113,1.9287691920463126,1.597161378082354,5.032747451001832,HTTP_Proxy,HTTP_Proxy
MySQL,252.0,252.0,0.0023,0.004227,2.197841,1.469312,0.052459,0.261318,1.8378260869565217,1.4958300211255335,4.981375931679978,MySQL,MySQL
TLS,103.0,103.0,0.015606,0.027503,2.689428,1.863986,0.05871,0.333324,1.7623349993592208,1.4428370170162224,5.677465508431273,TLS,TLS
TLS.Mozilla,151.0,151.0,0.011423,0.019952,2.757821,1.992847,0.069732,0.39127,1.7466514926026437,1.3838598748423736,5.611053748637641,TLS.Mozilla,TLS
