protocol           , protocol_detected, master_proto, app_proto, category_name , category_id, flows , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes, var_detecting_bytes, avg_packets_in_flow, var_packets_in_flow, avg_bytes_in_flow, var_bytes_in_flow        , avg_detecting_instructions, var_detecting_instructions, avg_detecting_cycles, var_detecting_cycles, avg_detecting_ipc, var_detecting_ipc, avg_detecting_llc_misses, var_detecting_llc_misses, avg_detecting_llc_refs, var_detecting_llc_refs, avg_detecting_llc_miss_ratio, var_detecting_llc_miss_ratio, avg_detecting_branch_misses, var_detecting_branch_misses, avg_detecting_branch_miss_per_kinst, var_detecting_branch_miss_per_kinst
TLS.GoogleServices ,                 1,           91,       239, Web           ,           5,   1015,               4.000000,               0.000000,          488.147783,        10770.386042,           57.637438,         6973.931603,      25571.493596,         2109238001.775082,              134624.675862,           261926686.922520,         43355.861084,      44407923.804348,          3.105109,          0.141577,                12.405911,                76.083512,             101.530049,           21276.989984,                     0.122190,                     0.047188,                  107.102463,                 2136.813147,                            0.795563,                            0.156076
TLS.Canonical      ,                 1,           91,       169, Cloud         ,          13,    942,               4.152866,               0.269626,          445.646497,         3238.965269,           23.400212,          140.452357,       7424.839703,          140785468.349039,              110615.964968,            26325951.012573,         42512.834395,      25947141.401450,          2.601943,          0.252792,                16.221868,               218.546316,             216.389597,          101793.163501,                     0.074966,                     0.029933,                  226.418259,                 7585.994911,                            2.046886,                            0.674369
LDAP               ,                 1,            0,       112, System        ,          18,    929,               5.407966,               7.001487,          616.497309,       232979.724697,           50.185145,         7643.709532,      14738.262648,          682537236.830908,               37696.836383,           311222331.790237,         19524.763186,      85601940.314210,          1.930719,          0.043928,                13.018299,               294.177275,             117.673843,           32721.944214,                     0.110630,                     0.072113,                  114.820237,                 3197.981679,                            3.045885,                           16.333756
Kerberos           ,                 1,            0,       111, Network       ,          14,    905,               3.208840,               9.029314,         1042.372376,       776636.211613,            9.398895,           53.441988,       4112.300552,            6179321.359392,               32636.366851,           577388822.073155,         14977.516022,     123120998.742561,          2.179024,          0.000000,                11.725967,               776.740375,              50.256354,           17336.000581,                     0.233323,                     0.114455,                   92.869613,                 3988.117806,                            2.845587,                           24.826287
TLS.Twitter        ,                 1,           91,       120, SocialNetwork ,           6,    785,               4.000000,               0.000000,          554.764331,        22355.385225,           48.840764,         8053.474007,      30140.098089,        10931401475.530506,              136871.733758,           149013106.521473,         44144.073885,      20261970.221292,          3.100569,          0.134700,                14.838217,                80.087202,             110.607643,            9166.804018,                     0.134152,                     0.044469,                  112.211465,                 3655.973117,                            0.819829,                            0.244006
TLS.AWS_Cloudfront ,                 1,           91,       464, Cloud         ,          13,    749,               4.002670,               0.005333,          526.206943,        18338.706173,           58.935915,        22640.762248,      41242.822430,        38019528462.685425,              136336.347130,           257650544.683239,         43176.723632,      18235762.701992,          3.157635,          0.037536,                12.236315,                68.591685,              85.826435,            7314.728220,                     0.142570,                     0.040994,                   96.596796,                 1796.646505,                            0.708518,                            0.179709
HTTP.Google        ,                 1,            7,       126, Advertisement ,         101,    592,               4.000000,               0.000000,          832.726351,        54922.178495,           31.736486,         1297.295425,      10045.932432,          589335235.738678,               86642.023649,          2449416765.820385,         41527.092905,     779847566.763328,          2.086398,          0.519172,                29.653716,              2022.344615,             219.714527,          102406.774924,                     0.134965,                     0.043718,                  320.824324,               125920.685354,                            3.702872,                            0.000000
NetBIOS            ,                 1,            0,        10, System        ,          18,    496,               2.322581,               6.234651,          199.112903,        40684.342092,           62.911290,        87652.637292,       6724.221774,          776059275.539526,               16594.157258,           197944280.487367,         10329.139113,      30588885.571373,          1.606538,          0.000000,                11.860887,               141.309277,              83.582661,           18933.295586,                     0.141906,                     0.060166,                   68.177419,                 1162.795135,                            4.108520,                           20.870304
FTP_CONTROL        ,                 1,            0,         1, Download      ,           7,    441,              28.108844,               2.432598,         2048.551020,        47703.163497,           50.691610,            8.839136,       3760.671202,             114832.964454,              167881.179138,            20780737.589230,        106231.648526,     325856070.119095,          1.580331,          0.225848,                44.839002,              5836.321019,            1057.650794,          426005.605946,                     0.042395,                     0.014345,                  863.002268,                39061.848067,                            5.140554,                            1.442345
TLS.Yahoo          ,                 1,           91,        70, Web           ,           5,    401,               4.002494,               0.002488,          552.678304,        21953.744392,           32.329177,          740.325558,      10982.708229,          560841116.705394,              140691.658354,            31171242.499241,         44713.294264,      15238799.105428,          3.146529,          0.142684,                15.079800,               112.706849,              90.628429,           10454.906823,                     0.166392,                     0.046475,                  104.598504,                 2652.838801,                            0.743459,                            0.132197
