protocol,profile_flows,profile_avg_detecting_total_ms,profile_avg_detecting_detection_only_ms,profile_avg_detecting_flow_table_ms,profile_avg_detecting_other_ms,profile_avg_detecting_detection_ratio,profile_avg_detecting_flow_table_ratio,profile_avg_detecting_other_ratio,profile_avg_detecting_ipc,profile_avg_detecting_llc_misses,profile_avg_detecting_llc_miss_ratio,profile_avg_detecting_branch_miss_per_kinst,protocol_label,family
DNS,2094.0,0.003519,0.002531,0.00048800000000000004,0.0005005000000000001,0.722056,0.13746049999999999,0.140483,1.6755475,23.045129000000003,0.256967,2.252949,DNS,DNS
ICMPV6,72.0,0.0026275,0.0012875,0.000925,0.000415,0.48818649999999997,0.3534445,0.15836899999999998,0.9359575,20.4305555,0.20632899999999998,6.580027,ICMPV6,ICMPV6
LLMNR,269.0,0.0028834999999999998,0.001914,0.0005045,0.000465,0.660849,0.17636200000000002,0.1627885,1.21451,27.451673,0.18262,4.075035,LLMNR,LLMNR
NTP,69.0,0.0023395,0.0011819999999999999,0.000874,0.000283,0.5036335,0.37465899999999996,0.1217085,0.898957,11.9347825,0.136152,5.3601575,NTP,NTP
SSDP,162.0,0.004899,0.003803,0.0007314999999999999,0.0003645,0.77281,0.153829,0.0733615,1.3001385,54.521605,0.111844,3.6684605,SSDP,SSDP
SamsungSDP,1695.0,0.001448,0.0007205,0.00030849999999999996,0.000419,0.4799245,0.226686,0.293389,1.359984,7.633333500000001,0.3599135,1.8290135,SamsungSDP,SamsungSDP
