protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,2094.0,2094.0,0.001847,0.003215,2.024089,1.327006,0.078765,0.435169,1.7406605305901464,1.5253050852822068,5.5249031930425945,DNS,DNS
ICMPV6,72.0,72.0,0.000905,0.00167,1.131785,0.74013,0.105712,0.306946,1.845303867403315,1.529170551119398,2.9036060239140307,ICMPV6,ICMPV6
LLMNR,269.0,269.0,0.001254,0.002574,1.549182,0.879838,0.057948,0.307292,2.0526315789473686,1.7607582304924316,5.302892248222545,LLMNR,LLMNR
NTP,69.0,69.0,0.000859,0.001505,1.069289,0.728625,0.037142,0.235162,1.7520372526193249,1.4675436610053183,6.331430725324431,NTP,NTP
SSDP,162.0,162.0,0.002719,0.004887,1.588628,1.011649,0.038268,0.18542,1.79735196763516,1.5703351656552815,4.845301557437023,SSDP,SSDP
SamsungSDP,1695.0,1695.0,0.000408,0.001033,1.730944,0.989024,0.20258,0.517247,2.5318627450980395,1.7501536868670529,2.553297462730773,SamsungSDP,SamsungSDP
