protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DNS,2194.0,2194.0,0.001881,0.003217,1.955056,1.318377,0.067415,0.379191,1.7102604997341837,1.4829263556630614,5.624727434547207,DNS,DNS
ICMPV6,51.0,51.0,0.000831,0.001533,1.112674,0.708153,0.055249,0.243513,1.8447653429602888,1.5712339000187812,4.407554887871274,ICMPV6,ICMPV6
LLMNR,104.0,104.0,0.001651,0.003303,1.236122,0.735377,0.053604,0.332249,2.0006056935190792,1.6809364448439372,6.198212819938811,LLMNR,LLMNR
SSDP,72.0,72.0,0.003196,0.005979,1.311093,0.834038,0.038368,0.198403,1.870775969962453,1.5719823317402806,5.171054003336113,SSDP,SSDP
