protocol,profile_flows,profile_avg_detecting_total_ms,profile_avg_detecting_detection_only_ms,profile_avg_detecting_flow_table_ms,profile_avg_detecting_other_ms,profile_avg_detecting_detection_ratio,profile_avg_detecting_flow_table_ratio,profile_avg_detecting_other_ratio,profile_avg_detecting_ipc,profile_avg_detecting_llc_misses,profile_avg_detecting_llc_miss_ratio,profile_avg_detecting_branch_miss_per_kinst,protocol_label,family
DNS,2194.0,0.0035759999999999998,0.002549,0.0005275,0.0005,0.7159584999999999,0.146271,0.13777050000000002,1.6367165,23.429353,0.223303,2.2956795,DNS,DNS
ICMPV6,51.0,0.0032365,0.001182,0.0014295,0.0006245000000000001,0.366942,0.4407635,0.192295,0.9104135,13.745097999999999,0.149381,6.218508,ICMPV6,ICMPV6
LLMNR,104.0,0.0034779999999999998,0.002477,0.000577,0.0004235,0.7098035,0.168761,0.1214355,0.9857495,55.2932695,0.1929265,5.7006175,LLMNR,LLMNR
SSDP,72.0,0.0057245,0.0045874999999999996,0.0007535,0.00038350000000000005,0.8011795,0.1321485,0.0666725,1.0725655,87.3958335,0.1183855,5.368525,SSDP,SSDP
